0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8
2156,7629,5602,2500,2349,1200,1218,1831,2283
5192,611,1245,1206,36,670,1394,335,3657
4360,2361,1641,1741,3266,1034,1440,1953,2502
1388,2559,1417,2762,941,316,1262,310,284
440,1437,999,392,4703,693,2057,60,1520
3062,2932,1147,3178,2535,1209,3376,1964,1822
2949,10873,3238,2427,328,112,1006,725,1253
3153,6759,10653,3861,7223,1956,387,107,1213
1038,1389,4328,1375,3067,2938,879,2594,2717
2261,6983,1357,1663,1420,1351,351,328,3382
9615,5376,2640,1417,3893,167,3362,1177,3239
1560,923,698,2760,1319,166,455,983,2450
14080,1503,742,73,333,197,1069,654,6262
5347,12212,1011,1834,884,120,2404,1341,945
10605,1400,3891,470,1063,833,1632,609,415
3935,3452,2205,1594,555,136,1888,72,451
3906,820,4682,345,3825,1878,1318,1755,853
300,398,2009,1309,5493,2534,1804,129,1700
6098,573,23,2524,2161,1840,776,551,2662
662,400,4153,3972,984,2665,1023,3943,4939
198,1611,4680,630,1002,1246,111,2396,1166
5230,694,996,199,1316,2560,2424,2043,493
7095,1108,1097,2455,840,1984,1051,871,3548
3682,3458,3253,1419,1653,2300,1054,3843,166
6579,3394,2274,607,578,38,53,547,1585
4720,715,2291,1718,478,37,1905,4,2766
4623,5873,2910,2291,48,2697,1498,773,24
2218,1968,6765,121,746,390,183,2067,238
2189,17,333,1321,252,979,2343,2274,2077
1229,7843,1865,1907,4069,1602,263,2114,730
